fips,net_migration_rate_65plus,net_migrants_65plus,total_expected_65plus,total_pop_2010,pop_65plus_2010,pct_65plus_2010,pct_55_64_2010,seasonal_housing_share_2010,total_pop_2020,pop_65plus_2020,pct_65plus_2020,change_65plus_pct,median_hh_income_2010,median_house_value_2010,healthcare_share_2010,manufacturing_share_2010,Scale,land_area_sqmi,state_fips,state_income_tax_2010,log_pop_2010,pop_density,is_rural,is_metro,is_south,is_west,is_coastal
06113,8.35422597373938,1519.0,18126.0,200849,19771,9.843713436462217,10.036893387569766,0.19452660750926,218774,27314,12.485030213827969,2.641316777365752,57.077,39.13,0.10889367916000278,0.09357833252207774,5.1,1014.732,06,10.55,12.210308660935103,197.93305030293715,0,1,0,1,0
06115,0.9193724611290088,64.0,7139.0,72155,7255,10.054743261035272,10.487145727946782,0.412520354622761,77524,9588,12.367782880140343,2.313039619105071,46.807,22.42,0.24391039582427143,0.053175293605915615,4.97,632.016,06,10.55,11.186571861870178,114.16641350851877,0,1,0,1,0
08001,0.8969780522774898,336.0,36268.0,441603,36862,8.347316481092747,9.497218089551023,0.18512161632012553,509844,53302,10.454570417617939,2.1072539365251917,54.666,19.61,0.15028420906696244,0.06757089822388589,2.48,1166.257,08,4.63,12.998166567400208,378.64981732156804,0,1,0,1,0
08003,0.5792943898207058,8.0,1729.0,15445,1752,11.3434768533506,12.126901910003237,0.42722001830942935,16153,2242,13.879774654862873,2.536297801512273,35.935,13.11,0.3117094325984821,0.016263100831225154,1.59,722.577,08,4.63,9.645040605352682,21.37488461437328,0,0,0,1,0
08005,1.6459031557974886,938.0,56214.0,572003,57580,10.066380770730223,11.690672951015992,0.199327740966257,649980,85418,13.141635127234686,3.0752543565044625,58.719,23.23,0.1198872666398254,0.03440062723824458,2.35,797.931,08,4.63,13.256899515103425,716.8577232868506,0,1,0,1,0
08007,13.452756756756756,248.0,1850.0,12084,2116,17.510758027143332,20.46507778881165,0.330974663318877,13588,3501,25.7653812187224,8.254623191579068,56.068,30.44,0.08314350797266515,0.02050113895216401,5.58,1350.087,08,4.63,9.399637542506563,8.950534298900738,1,0,0,1,0
08009,-2.9568669527897,-28.0,932.0,3788,911,24.049630411826822,14.65153115100317,0.400355871886121,3570,938,26.27450980392157,2.224879392094749,36.017,7.27,0.0,0.0,0.48,2554.993,08,4.63,8.239593454305968,1.4825872321372309,1,0,0,1,0
08011,-1.9458888888888881,-19.0,900.0,6499,888,13.663640560086169,12.417294968456686,1.2042818911685995,5677,1087,19.147437026598553,5.483796466512384,36.412,6.94,0.10082644628099173,0.0,2.45,1512.847,08,4.63,8.77940359789435,4.295873938342741,1,0,0,1,0
08013,4.034349463511689,1135.0,28146.0,294567,29521,10.021828650188242,12.047174327063113,0.22900583138560335,324682,46593,14.350348956825448,4.3285203066372056,64.839,35.33,0.13716794236830257,0.1019585772174696,5.82,726.37,08,4.63,12.593261760443095,405.53299282734696,0,1,0,1,0
08014,78.90222950819671,2408.0,3050.0,55889,5508,9.855248796722075,10.764193311742918,0.22078954340722423,69444,9587,13.805368354357467,3.950119557635393,75.59,27.05,0.036979586771731715,0.07355587268102004,,33.004,08,4.63,10.931122859815252,1693.400799903042,0,1,0,1,0
