AGEP,HINCP,TEN,SPORDER,PWGTP,WGTP,PUMA,state,puma_int
66,24800,2,1,336,337,04104,36,4104
89,131400,2,1,45,45,04108,36,4108
65,575000,1,1,118,118,04108,36,4108
77,103400,2,1,308,308,04110,36,4110
78,23000,2,1,312,312,04104,36,4104
70,404150,2,1,118,119,04108,36,4108
76,268000,2,1,73,74,04121,36,4121
75,102000,1,1,238,238,04108,36,4108
77,130900,1,1,122,121,04107,36,4107
72,80000,1,1,145,146,04121,36,4121
86,93000,2,1,117,116,04108,36,4108
78,352000,2,1,122,122,04108,36,4108
65,614600,2,1,119,119,04107,36,4107
78,180000,2,1,108,108,04108,36,4108
74,105000,2,1,136,136,04165,36,4165
68,118800,2,1,25,25,04165,36,4165
71,153500,2,1,125,125,04112,36,4112
75,242700,1,1,115,115,04112,36,4112
83,38300,2,1,122,122,04109,36,4109
77,346000,2,1,110,110,04107,36,4107
87,350000,2,1,42,43,04165,36,4165
86,304300,2,1,130,130,04108,36,4108
77,57900,2,1,103,103,04165,36,4165
65,13300,2,1,123,123,04107,36,4107
89,116300,2,1,250,251,04103,36,4103
90,36600,2,1,35,35,04103,36,4103
80,505500,2,1,127,127,04108,36,4108
78,39800,2,1,56,56,04121,36,4121
72,88520,2,1,58,58,04112,36,4112
72,5000,2,1,57,57,04103,36,4103
74,599200,2,1,313,313,04107,36,4107
66,305200,2,1,75,76,04165,36,4165
88,26300,2,1,208,208,04121,36,4121
75,590000,1,1,158,158,04108,36,4108
74,475000,1,1,60,60,04108,36,4108
81,791300,2,1,99,99,04121,36,4121
80,45900,2,1,224,223,04165,36,4165
78,160100,2,1,104,104,04111,36,4111
87,59000,2,1,47,48,04108,36,4108
78,126000,2,1,118,119,04121,36,4121
84,200000,1,1,120,120,04107,36,4107
88,34400,1,1,143,142,04112,36,4112
72,30600,1,1,135,136,04111,36,4111
75,444700,2,1,118,118,04107,36,4107
72,385500,2,1,94,93,04108,36,4108
83,807840,2,1,46,46,04165,36,4165
65,2800,2,1,93,93,04104,36,4104
79,132000,2,1,110,111,04108,36,4108
83,87900,1,1,95,95,04110,36,4110
67,42000,2,1,211,211,04107,36,4107
76,27030,2,1,317,317,04108,36,4108
65,319000,2,1,115,115,04108,36,4108
68,44900,2,1,214,214,04107,36,4107
65,924000,2,1,40,41,04108,36,4108
77,87300,2,1,148,148,04165,36,4165
76,212400,2,1,125,124,04109,36,4109
82,161300,2,1,119,120,04103,36,4103
85,401400,1,1,129,130,04108,36,4108
65,115000,2,1,80,79,04103,36,4103
71,882330,2,1,44,43,04108,36,4108
68,145000,2,1,366,366,04108,36,4108
69,694300,1,1,1147,1148,04165,36,4165
79,152300,2,1,83,83,04108,36,4108
90,14900,2,1,235,234,04103,36,4103
76,411000,1,1,108,108,04107,36,4107
78,56800,2,1,101,101,04104,36,4104
68,88850,2,1,285,284,04108,36,4108
72,773800,2,1,31,31,04165,36,4165
89,42900,2,1,802,802,04165,36,4165
74,17400,2,1,104,104,04108,36,4108
66,209800,2,1,95,95,04108,36,4108
72,293500,2,1,113,113,04107,36,4107
69,38030,2,1,101,101,04108,36,4108
79,74220,2,1,131,131,04108,36,4108
84,44200,2,1,108,109,04165,36,4165
69,519000,2,1,109,109,04104,36,4104
89,95500,2,1,141,141,04108,36,4108
81,37000,1,1,200,201,04108,36,4108
72,199900,2,1,69,69,04165,36,4165
81,1800,2,1,158,158,04165,36,4165
76,588600,2,1,117,117,04109,36,4109
77,0,1,1,126,125,04121,36,4121
77,51500,2,1,92,92,04121,36,4121
73,414300,2,1,126,126,04107,36,4107
76,3500,2,1,63,63,04165,36,4165
83,44900,1,1,373,372,04110,36,4110
74,34600,2,1,122,122,04111,36,4111
95,69600,2,1,139,140,04108,36,4108
78,48000,2,1,100,101,04108,36,4108
69,99000,1,1,80,80,04108,36,4108
73,70600,2,1,311,311,04111,36,4111
77,102800,2,1,263,263,04103,36,4103
74,83500,2,1,183,183,04107,36,4107
68,15000,2,1,181,181,04103,36,4103
83,2500,2,1,118,118,04108,36,4108
67,168000,1,1,57,58,04110,36,4110
75,89100,2,1,95,95,04104,36,4104
85,0,2,1,101,101,04165,36,4165
73,60000,2,1,113,113,04108,36,4108
69,825000,2,1,218,218,04121,36,4121
86,167400,2,1,204,204,04121,36,4121
72,273300,2,1,63,63,04108,36,4108
77,201200,2,1,206,206,04121,36,4121
75,18600,2,1,50,50,04165,36,4165
87,169100,1,1,72,72,04112,36,4112
70,0,1,1,415,416,04109,36,4109
70,487300,1,1,134,135,04165,36,4165
95,8700,2,1,324,325,04165,36,4165
74,274300,2,1,63,63,04121,36,4121
76,65800,2,1,110,110,04103,36,4103
70,59900,2,1,615,616,04112,36,4112
88,219000,2,1,127,128,04165,36,4165
75,144700,2,1,112,113,04107,36,4107
83,129600,2,1,87,87,04107,36,4107
78,672200,2,1,155,156,04104,36,4104
73,140300,2,1,102,103,04108,36,4108
70,306000,2,1,64,64,04111,36,4111
67,334000,2,1,113,113,04107,36,4107
74,448300,2,1,168,168,04165,36,4165
85,87700,2,1,108,107,04108,36,4108
75,260100,1,1,77,77,04165,36,4165
74,85700,2,1,103,103,04112,36,4112
89,3600,2,1,76,76,04108,36,4108
65,1088000,2,1,208,208,04107,36,4107
76,225700,2,1,313,314,04165,36,4165
73,0,2,1,180,181,04104,36,4104
71,581500,2,1,63,63,04108,36,4108
70,63700,2,1,87,87,04103,36,4103
74,63200,2,1,97,98,04108,36,4108
65,387000,2,1,195,195,04165,36,4165
70,204100,2,1,139,138,04165,36,4165
68,128000,1,1,177,178,04110,36,4110
78,76500,2,1,131,131,04112,36,4112
66,263400,2,1,144,144,04104,36,4104
95,430300,1,1,223,223,04108,36,4108
83,130900,1,1,172,172,04165,36,4165
85,347000,2,1,128,128,04107,36,4107
80,51000,2,1,74,74,04108,36,4108
74,155520,2,1,102,102,04112,36,4112
82,18000,2,1,71,71,04108,36,4108
88,114400,2,1,70,70,04165,36,4165
72,11000,2,1,308,308,04107,36,4107
84,217500,2,1,993,994,04108,36,4108
72,46200,2,1,69,69,04108,36,4108
79,202400,2,1,77,77,04110,36,4110
72,322800,2,1,108,108,04107,36,4107
82,241000,2,1,102,103,04108,36,4108
72,98070,2,1,98,98,04107,36,4107
70,188300,2,1,126,126,04165,36,4165
74,84000,2,1,211,211,04165,36,4165
84,90200,2,1,162,162,04165,36,4165
67,240000,1,1,92,92,04112,36,4112
87,623000,2,1,255,254,04165,36,4165
76,73000,2,1,203,203,04107,36,4107
78,4200,1,1,65,64,04110,36,4110
83,4200,2,1,612,613,04111,36,4111
66,50000,2,1,135,134,04107,36,4107
80,132300,2,1,169,169,04108,36,4108
73,2000,1,1,36,35,04121,36,4121
81,108620,2,1,164,164,04104,36,4104
80,64500,1,1,96,96,04107,36,4107
65,235000,1,1,202,202,04111,36,4111
65,225000,2,1,134,134,04108,36,4108
82,93000,2,1,83,83,04103,36,4103
77,559300,2,1,42,43,04103,36,4103
80,140300,2,1,137,137,04165,36,4165
75,762000,1,1,131,131,04108,36,4108
81,644200,1,1,36,36,04165,36,4165
66,564300,2,1,98,98,04108,36,4108
74,254300,2,1,105,105,04107,36,4107
83,60000,2,1,192,192,04107,36,4107
68,190000,1,1,139,139,04103,36,4103
73,59100,2,1,111,111,04103,36,4103
